GEOID,Geographic Area Name,IT_WholeNum,IT_WhiteNum,IT_NHWhiteNum,IT_BlackNum,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate
17113,"McLean, Illinois",141465,119080,114499,9539,85.9,86.5,86.8,74.1
17115,"Macon, Illinois",84573,67420,66193,10716,83.0,84.6,84.7,73.2
17117,"Macoupin, Illinois",37853,36680,36430,290,84.9,84.9,84.9,86.3
17119,"Madison, Illinois",229018,202821,197330,17109,88.4,89.2,89.2,78.6
17121,"Marion, Illinois",30872,28662,28349,988,83.5,83.7,84.0,75.4
17123,"Marshall, Illinois",9561,9272,9077,9,83.9,83.7,84.1,100.0
17125,"Mason, Illinois",11286,11007,10962,33,84.3,84.6,84.7,47.1
17127,"Massac, Illinois",10365,9594,9273,388,74.6,75.8,75.6,48.6
17129,"Menard, Illinois",10740,10479,10300,31,88.2,88.6,88.4,86.1
17131,"Mercer, Illinois",13509,13136,12892,30,87.9,87.8,87.7,58.8
