GEOID,Rate_poor_fair_health,provcount_b,provcount_c,injury_deaths_per_100000
24035,0.10400000000000001,11,8,53.9
24037,0.122,13,8,50.9
24039,0.162,8,8,46.2
24041,0.13699999999999998,13,9,58.3
24043,0.14800000000000002,17,12,60.9
24045,0.138,15,9,57.7
24047,0.133,10,9,59.9
24510,0.187,31,13,96.7
25001,0.083,12,5,63.8
25003,0.121,13,8,55.0
25005,0.152,19,11,54.6
25007,,10,8,39.8
25009,0.13,25,13,43.9
25011,0.10300000000000001,16,9,47.3
25013,0.15,22,12,48.9
25015,0.1,17,8,38.2
25017,0.08900000000000001,34,16,38.2
25019,,8,5,51.0
25021,0.08900000000000001,27,13,40.3
25023,0.11,17,10,47.6
25025,0.17,35,14,46.5
25027,0.11900000000000001,24,13,45.8
26001,0.128,9,8,80.3
26003,,9,6,69.3
26005,0.13,23,14,54.7
26007,0.147,12,7,67.5
26009,0.182,12,11,67.7
26011,0.24,12,10,70.2
26013,0.168,9,8,68.1
26015,0.14,15,11,60.1
26017,0.134,18,11,62.1
26019,,8,7,67.3
26021,0.16699999999999998,17,11,58.5
26023,0.21899999999999997,14,10,59.7
26025,0.185,24,16,74.8
26027,0.161,13,9,64.6
26029,0.1,15,12,51.4
26031,0.135,13,10,68.7
26033,0.149,11,7,72.9
26035,0.21600000000000003,10,8,61.4
26037,0.11199999999999999,21,14,35.9
26039,,14,10,77.9
26041,0.14800000000000002,14,10,53.9
26043,0.133,13,7,79.1
26045,0.145,20,11,51.0
26047,0.147,14,11,57.9
26049,0.187,27,18,74.3
26051,0.25,12,8,73.0
26053,,11,10,86.9
26055,0.091,19,12,57.8
26057,0.17300000000000001,17,12,45.8
26059,0.156,19,12,63.9
26061,0.149,15,11,57.5
26063,0.146,14,10,63.6
26065,0.13,24,13,46.6
26067,0.142,21,15,58.6
26069,0.126,12,7,70.3
26071,,16,12,103.0
26073,0.092,19,13,39.3
26075,0.132,22,13,54.2
26077,0.14800000000000002,25,17,59.3
26079,0.345,15,11,78.9
26081,0.115,24,13,52.9
26083,,9,9,
26085,,9,10,74.4
26087,0.13,13,10,57.5
26089,,12,8,56.4
26091,0.09699999999999999,20,14,55.2
26093,0.09,19,13,48.5
26095,0.18100000000000002,8,4,72.7
26097,0.115,11,9,77.2
26099,0.127,19,12,61.4
26101,0.17300000000000001,10,7,93.6
26103,0.115,16,11,60.7
26105,0.209,12,7,69.0
26107,0.09300000000000001,20,13,53.6
26109,0.145,12,8,65.7
26111,0.111,21,15,52.1
26113,0.13,11,8,64.2
26115,0.15,21,13,59.1
26117,0.141,20,15,65.7
26119,,9,6,67.9
26121,0.157,17,8,63.2
26123,0.157,16,11,67.6
26125,0.10800000000000001,35,20,46.4
26127,0.192,15,9,75.8
26129,0.172,12,8,70.1
26131,,7,6,113.3
26133,0.115,13,9,53.6
26135,,10,6,91.9
26137,0.132,19,12,67.9
26139,0.098,23,14,42.7
26141,,12,8,89.7
26143,0.242,11,7,68.7
26145,0.147,25,16,62.4
