GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
13211,0,27.0,51.0,48
13213,1,24.0,47.0,47
13215,1,27.0,47.0,38
13217,1,36.0,53.0,47
13219,1,42.0,57.0,57
13221,1,34.0,47.0,45
13223,1,31.0,46.0,44
13225,0,33.0,45.0,42
13227,1,50.0,52.0,52
13229,0,35.0,44.0,43
13231,1,26.0,45.0,43
13233,0,33.0,46.0,44
13235,0,34.0,44.0,42
13237,0,30.0,52.0,49
13239,0,42.0,42.0,42
13241,0,23.0,46.0,46
13243,0,16.0,33.0,27
13245,1,27.0,45.0,37
13247,1,34.0,51.0,44
13249,0,22.0,43.0,39
13251,0,25.0,36.0,33
13253,0,17.0,40.0,34
13255,1,27.0,48.0,44
13257,0,33.0,50.0,49
13259,0,34.0,43.0,40
13261,0,29.0,51.0,44
13263,0,26.0,43.0,37
13265,0,24.0,44.0,35
13267,0,24.0,36.0,34
13269,0,27.0,44.0,40
13271,0,20.0,37.0,33
13273,1,21.0,48.0,38
13275,0,35.0,54.0,49
13277,0,39.0,52.0,49
13279,0,22.0,39.0,35
13281,0,,50.0,50
13283,0,22.0,44.0,40
13285,0,28.0,44.0,39
13287,0,38.0,49.0,46
13289,1,35.0,42.0,39
13291,0,45.0,50.0,50
13293,0,33.0,43.0,41
13295,1,32.0,47.0,46
13297,1,33.0,50.0,47
13299,0,29.0,45.0,43
13301,0,31.0,49.0,42
13303,0,29.0,47.0,41
13305,0,25.0,45.0,43
13307,0,31.0,49.0,44
13309,0,26.0,38.0,35
13311,0,28.0,48.0,48
13313,1,33.0,48.0,47
13315,0,27.0,41.0,39
13317,0,25.0,48.0,41
13319,0,28.0,45.0,40
13321,1,24.0,45.0,41
13990,0,,,38
15001,0,20.0,34.0,38
15003,1,23.0,42.0,49
15007,0,23.0,36.0,42
15009,0,25.0,36.0,38
16001,1,33.0,51.0,51
16003,0,,36.0,36
16005,1,30.0,45.0,44
16007,0,,24.0,23
16009,0,,27.0,27
16011,0,,31.0,30
16013,0,,58.0,58
16015,1,,35.0,35
16017,0,0.0,36.0,36
16019,1,42.0,49.0,49
16021,0,,24.0,24
16023,0,,29.0,29
16025,0,,32.0,32
16027,1,36.0,45.0,45
16029,0,,38.0,38
16031,0,,42.0,42
16033,0,,39.0,36
16035,0,,41.0,41
16037,0,,35.0,35
16039,0,20.0,26.0,25
16041,1,,42.0,42
16043,0,,41.0,40
16045,1,,34.0,34
16047,0,,29.0,28
16049,0,,23.0,23
16051,1,,44.0,44
16053,0,,41.0,39
16055,1,30.0,45.0,45
16057,0,,49.0,49
16059,0,,28.0,28
16061,0,,35.0,36
16063,0,,38.0,36
16065,0,,44.0,44
16067,0,,33.0,33
16069,1,29.0,47.0,47
16071,0,,28.0,28
16073,1,,31.0,31
16075,0,,42.0,41
16077,1,,44.0,42
16079,0,,43.0,43
