Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Lincoln, Arkansas",0.023,0.019,0.043,0.0,,-0.023999999999999997
"Little River, Arkansas",0.1,0.075,0.182,0.0,0.0,-0.107
"Logan, Arkansas",0.062,0.055,0.053,0.068,0.257,0.0020000000000000018
"Lonoke, Arkansas",0.036000000000000004,0.035,0.08,0.0,0.0,-0.045
"Madison, Arkansas",0.042,0.043,0.0,0.0,0.0,0.043
"Marion, Arkansas",0.048,0.047,1.0,,0.0,-0.953
"Miller, Arkansas",0.07,0.045,0.122,0.0,0.0,-0.077
"Mississippi, Arkansas",0.092,0.055999999999999994,0.154,0.778,0.049,-0.098
"Monroe, Arkansas",0.075,0.047,0.114,0.0,0.16,-0.067
"Montgomery, Arkansas",0.076,0.059000000000000004,,0.16899999999999998,0.0,
"Nevada, Arkansas",0.057999999999999996,0.048,0.086,,,-0.03799999999999999
"Newton, Arkansas",0.035,0.038,,0.0,0.0,
"Ouachita, Arkansas",0.078,0.067,0.09699999999999999,0.0,0.0,-0.029999999999999985
"Perry, Arkansas",0.055,0.054000000000000006,0.045,0.0,,0.009000000000000008
"Phillips, Arkansas",0.106,0.055999999999999994,0.146,0.0,,-0.09
"Pike, Arkansas",0.047,0.027999999999999997,0.233,0.419,0.0,-0.20500000000000002
"Poinsett, Arkansas",0.057999999999999996,0.049,0.155,0.0,0.0,-0.106
"Polk, Arkansas",0.09300000000000001,0.096,0.0,0.0,0.425,0.096
"Pope, Arkansas",0.064,0.062,0.147,0.092,0.032,-0.08499999999999999
"Prairie, Arkansas",0.071,0.054000000000000006,0.157,0.0,0.0,-0.103
"Pulaski, Arkansas",0.047,0.038,0.063,0.02,0.013000000000000001,-0.025
"Randolph, Arkansas",0.043,0.038,0.0,0.0,0.0,0.038
"St. Francis, Arkansas",0.062,0.035,0.08800000000000001,0.0,0.0,-0.053000000000000005
"Saline, Arkansas",0.037000000000000005,0.034,0.078,0.0,0.002,-0.044
"Scott, Arkansas",0.081,0.079,,0.149,0.0,
