GEOID,hesitancy,strong_hesitancy
20035,0.19,0.08
20037,0.22,0.09
20039,0.19,0.08
20041,0.19,0.08
20043,0.21,0.08
20045,0.18,0.07
20047,0.2,0.08
20049,0.19,0.08
20051,0.19,0.08
20053,0.19,0.08
20055,0.2,0.09
20057,0.2,0.09
20059,0.2,0.08
20061,0.22,0.08
20063,0.19,0.08
20065,0.19,0.08
20067,0.2,0.09
20069,0.2,0.09
20071,0.19,0.08
20073,0.19,0.08
20075,0.2,0.09
20077,0.2,0.08
20079,0.18,0.08
20081,0.2,0.09
20083,0.2,0.09
20085,0.19,0.08
20087,0.21,0.08
20089,0.19,0.08
20091,0.15,0.06
20093,0.2,0.09
20095,0.2,0.08
20097,0.2,0.08
20099,0.22,0.09
20101,0.19,0.08
20103,0.21,0.08
20105,0.19,0.08
20107,0.2,0.08
20109,0.19,0.08
20111,0.19,0.08
20113,0.2,0.08
20115,0.19,0.08
20117,0.19,0.08
20119,0.2,0.09
20121,0.2,0.08
20123,0.19,0.08
20125,0.22,0.09
20127,0.19,0.08
20129,0.2,0.09
20131,0.19,0.08
20133,0.22,0.09
20135,0.19,0.08
20137,0.19,0.08
20139,0.19,0.08
20141,0.19,0.08
20143,0.19,0.08
20145,0.2,0.08
20147,0.19,0.08
20149,0.22,0.08
20151,0.2,0.08
20153,0.19,0.08
20155,0.2,0.08
20157,0.19,0.08
20159,0.2,0.08
20161,0.22,0.08
20163,0.19,0.08
20165,0.2,0.08
20167,0.19,0.08
20169,0.19,0.08
20171,0.19,0.08
20173,0.2,0.09
20175,0.2,0.09
20177,0.2,0.09
20179,0.19,0.08
20181,0.19,0.08
20183,0.19,0.08
20185,0.2,0.08
20187,0.2,0.09
20189,0.2,0.09
20191,0.2,0.08
20193,0.19,0.08
20195,0.19,0.08
20197,0.19,0.08
20199,0.19,0.08
20201,0.19,0.08
20203,0.19,0.08
20205,0.19,0.08
20207,0.19,0.08
20209,0.22,0.1
21001,0.22,0.1
21003,0.22,0.1
21005,0.19,0.09
21007,0.19,0.08
21009,0.22,0.1
21011,0.22,0.1
21013,0.23,0.11
21015,0.16,0.07
21017,0.19,0.09
21019,0.2,0.09
21021,0.19,0.09
21023,0.22,0.1
21025,0.23,0.11
21027,0.21,0.09
21029,0.18,0.08
21031,0.22,0.1
21033,0.21,0.1
21035,0.19,0.08
21037,0.18,0.08
21039,0.19,0.08
21041,0.18,0.08
21043,0.2,0.09
21045,0.22,0.1
21047,0.22,0.1
21049,0.19,0.09
21051,0.23,0.11
21053,0.22,0.1
21055,0.21,0.1
21057,0.22,0.1
21059,0.18,0.08
21061,0.22,0.1
21063,0.2,0.09
21065,0.19,0.09
21067,0.17,0.07
21069,0.22,0.1
21071,0.23,0.11
21073,0.19,0.09
21075,0.19,0.08
21077,0.18,0.08
21079,0.19,0.09
21081,0.18,0.08
21083,0.19,0.08
21085,0.21,0.09
21087,0.22,0.1
21089,0.2,0.09
21091,0.18,0.08
21093,0.21,0.09
21095,0.23,0.11
21097,0.19,0.09
21099,0.22,0.1
21101,0.2,0.09
21103,0.17,0.08
21105,0.19,0.08
21107,0.21,0.1
21109,0.23,0.11
21111,0.17,0.08
21113,0.19,0.09
21115,0.23,0.11
21117,0.17,0.08
21119,0.23,0.11
21121,0.23,0.11
21123,0.2,0.09
21125,0.23,0.11
21127,0.2,0.09
21129,0.23,0.11
21131,0.23,0.11
21133,0.23,0.11
21135,0.22,0.1
21137,0.19,0.09
21139,0.21,0.1
21141,0.22,0.1
21143,0.22,0.1
21145,0.19,0.08
21147,0.21,0.1
21149,0.2,0.09
21151,0.19,0.09
21153,0.23,0.11
21155,0.2,0.09
21157,0.19,0.08
21159,0.23,0.11
21161,0.22,0.1
21163,0.21,0.09
21165,0.22,0.1
21167,0.19,0.09
21169,0.22,0.1
21171,0.22,0.1
21173,0.22,0.1
21175,0.22,0.1
21177,0.21,0.1
21179,0.2,0.09
21181,0.19,0.09
21183,0.2,0.09
21185,0.17,0.08
21187,0.18,0.08
21189,0.23,0.11
21191,0.18,0.08
21193,0.23,0.11
21195,0.23,0.11
21197,0.19,0.09
