GEOID,Segregation index,Average Traffic Volume per Meter of Major Roadways,% Vaccinated,% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (White),Violent Crime Rate
13087,35.202357333,96.709618084,35.0,,23.0,39.0,678.61171206
13089,73.1990463,991.94603838,44.0,50.0,31.0,54.0,644.47770595
13091,12.292479904,35.855464021,41.0,,27.0,43.0,377.39698082
13093,3.3281964507,51.502779477,35.0,,25.0,38.0,155.11025405
13095,49.770967294,221.82741917,40.0,30.0,29.0,48.0,940.76351189
13097,30.145883057,206.51098983,43.0,46.0,30.0,47.0,306.02552474
13099,28.629024834,31.412072865,34.0,,23.0,40.0,776.9145394
13101,29.906305918,1.1965785272,42.0,,,,86.270643333
13103,28.869892671,10.066901189,39.0,40.0,28.0,40.0,118.39756843
13105,24.217457286,259.78092382,32.0,,28.0,33.0,358.8115336
13107,26.364011887,29.767911444,33.0,,21.0,36.0,371.15828543
13109,30.07660867,53.579679884,44.0,,29.0,48.0,160.33427267
13111,,50.404656749,44.0,,,44.0,124.32914068
13113,46.782831851,55.13221341,49.0,53.0,38.0,51.0,73.496386428
13115,48.016507355,161.65944782,47.0,54.0,38.0,48.0,338.34352002
13117,44.492919145,59.591436382,48.0,49.0,36.0,49.0,55.320108741
13119,33.478407959,42.872054183,52.0,,45.0,52.0,145.43482548
13121,72.672193216,1682.8585198,46.0,47.0,32.0,55.0,763.18918796
13123,34.169125903,24.688671432,43.0,,,43.0,270.85404738
13125,,0.0592910015,41.0,,20.0,44.0,90.760573607
13127,50.845827376,174.40103904,43.0,47.0,31.0,45.0,479.35701285
13129,38.579131219,209.9765824,46.0,60.0,43.0,46.0,273.87728157
13131,25.806597149,89.845992211,41.0,,34.0,42.0,193.56877617
13133,40.564016974,56.940286427,46.0,,20.0,50.0,252.28255646
13135,30.768421059,311.13882737,44.0,51.0,31.0,47.0,221.31215355
13137,31.908210154,41.806520404,46.0,36.0,38.0,46.0,181.4529934
13139,36.825078894,158.587697,46.0,47.0,30.0,48.0,315.91284842
13141,24.715521683,23.679523861,32.0,,22.0,43.0,334.12887828
13143,28.6570274,20.187375982,35.0,,28.0,35.0,639.87446604
13145,16.146752668,31.037372079,42.0,,33.0,43.0,123.70378289
13147,29.176124192,10.982760143,49.0,,38.0,50.0,347.00631832
13149,21.837004121,6.3247740369,34.0,,25.0,35.0,195.76282246
13151,34.004849931,201.16430582,42.0,45.0,34.0,45.0,175.8040961
13153,21.993075462,126.91393686,39.0,42.0,33.0,41.0,361.57675303
13155,32.762847159,34.298687203,47.0,,40.0,49.0,258.30059732
13157,32.193377107,69.235243799,49.0,54.0,39.0,50.0,222.39244854
13159,25.724851383,8.7190341035,45.0,,36.0,48.0,411.58971433
13161,41.379677683,43.282888095,39.0,,29.0,40.0,347.83772033
13163,20.327623596,46.170048009,26.0,,20.0,30.0,508.22692332
13165,11.879969832,26.189145421,31.0,,17.0,36.0,
13167,48.502753583,19.749190878,37.0,,27.0,39.0,373.6521832
13169,29.12036943,41.993844454,45.0,,27.0,49.0,98.922451864
13171,33.052472262,17.754760692,44.0,,32.0,46.0,495.52339659
13173,18.764029564,11.963703948,27.0,,21.0,28.0,383.38045718
13175,35.528443484,55.500672421,43.0,45.0,30.0,47.0,358.92015678
