Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Sonoma, California",88.8,35.5,92.9,39.3,95.8,41.9,89.3,29.8
"Stanislaus, California",78.9,17.1,80.8,16.9,89.6,22.3,90.3,16.4
"Sutter, California",78.2,18.2,80.9,17.4,91.2,21.0,95.1,20.8
"Tehama, California",84.5,15.7,86.5,15.9,91.2,17.0,80.4,31.1
"Trinity, California",92.4,19.5,92.3,19.4,92.4,19.5,83.7,49.0
"Tulare, California",70.8,14.6,71.8,15.3,90.1,24.8,87.6,25.6
"Tuolumne, California",90.7,20.5,92.4,21.8,92.7,22.1,73.3,7.5
"Ventura, California",85.0,33.8,85.0,32.5,96.5,43.7,95.0,38.6
"Yolo, California",86.5,41.4,87.4,41.0,95.6,50.6,93.4,28.0
"Yuba, California",82.3,17.1,83.4,16.9,88.3,18.4,89.1,20.6
"Adams, Colorado",83.8,24.3,85.4,25.2,94.5,32.1,90.1,22.5
"Alamosa, Colorado",86.9,25.0,87.7,26.9,96.0,33.2,75.6,26.7
"Arapahoe, Colorado",92.6,42.8,94.6,46.6,97.1,50.2,91.9,27.7
"Archuleta, Colorado",92.3,37.2,94.1,40.7,95.6,42.4,100.0,0.0
"Baca, Colorado",86.2,21.4,86.8,22.1,90.5,23.3,100.0,0.0
"Bent, Colorado",84.8,11.4,84.6,12.1,92.3,15.3,85.9,0.0
"Boulder, Colorado",95.0,62.1,95.8,62.8,98.3,66.5,87.8,30.5
"Broomfield, Colorado",96.9,55.7,97.7,55.9,98.5,57.8,96.8,41.6
"Chaffee, Colorado",93.5,33.8,95.0,35.2,96.3,37.6,93.9,0.0
"Cheyenne, Colorado",91.6,19.2,91.7,18.9,93.3,20.5,100.0,0.0
"Clear Creek, Colorado",98.6,48.1,98.6,48.6,99.2,49.0,100.0,25.9
"Conejos, Colorado",88.0,21.0,89.1,22.1,94.9,29.9,100.0,100.0
"Costilla, Colorado",81.0,19.3,80.9,18.9,94.6,35.1,100.0,0.0
"Crowley, Colorado",86.1,9.0,84.7,10.0,89.3,11.0,97.7,0.0
"Custer, Colorado",93.6,32.5,93.5,32.5,94.2,32.2,,
"Delta, Colorado",90.7,21.7,91.2,21.9,94.4,23.4,75.1,0.0
"Denver, Colorado",88.0,49.4,90.3,54.5,97.4,65.7,86.9,24.7
"Dolores, Colorado",93.8,24.1,94.0,24.2,93.8,23.9,,
"Douglas, Colorado",98.1,58.0,98.4,57.8,98.7,58.7,93.2,50.6
"Eagle, Colorado",88.3,47.2,91.1,50.0,98.9,58.4,89.4,27.3
"Elbert, Colorado",96.7,35.8,96.8,36.2,97.3,36.8,90.2,23.2
"El Paso, Colorado",94.2,38.5,95.4,40.7,96.7,42.6,94.5,27.2
"Fremont, Colorado",90.1,18.5,91.0,20.1,92.7,22.2,80.7,1.9
"Garfield, Colorado",88.1,31.0,90.5,33.1,95.4,37.2,87.4,34.1
"Gilpin, Colorado",98.5,39.6,98.4,41.3,98.8,42.2,69.2,30.8
"Grand, Colorado",94.6,38.0,94.9,38.8,96.4,40.1,100.0,11.1
"Gunnison, Colorado",97.4,56.2,97.9,56.9,98.4,58.2,90.0,90.0
"Hinsdale, Colorado",93.7,45.7,93.5,46.7,93.2,48.0,,
"Huerfano, Colorado",92.4,21.1,92.1,20.8,95.1,26.0,60.0,0.0
"Jackson, Colorado",87.4,20.0,88.0,20.5,94.8,21.8,,
"Jefferson, Colorado",94.5,45.2,95.0,45.8,96.8,48.9,92.7,35.6
"Kiowa, Colorado",95.7,21.4,95.5,21.0,95.9,20.8,100.0,0.0
"Kit Carson, Colorado",89.5,18.7,90.1,19.4,95.3,21.7,79.4,3.4
"Lake, Colorado",83.7,32.3,87.3,34.9,93.7,41.7,33.3,0.0
"La Plata, Colorado",95.5,44.2,96.4,46.3,97.3,48.5,77.0,12.0
"Larimer, Colorado",95.9,47.3,96.2,47.5,97.3,49.5,95.7,37.8
"Las Animas, Colorado",87.9,19.5,88.7,20.7,93.5,26.3,85.6,8.8
"Lincoln, Colorado",90.9,12.6,92.0,14.1,92.8,18.1,80.8,1.1
"Logan, Colorado",89.6,20.2,89.7,20.5,92.9,21.9,82.8,0.0
"Mesa, Colorado",90.5,28.2,91.0,28.6,93.0,30.4,94.3,9.9
"Mineral, Colorado",97.4,46.5,97.4,48.2,97.3,48.0,88.9,88.9
"Moffat, Colorado",88.7,17.6,88.9,17.7,94.2,19.6,91.2,40.7
"Montezuma, Colorado",90.0,29.6,91.4,32.1,92.1,33.3,93.5,3.2
"Montrose, Colorado",89.0,25.2,89.3,25.2,93.0,27.7,87.9,29.3
"Morgan, Colorado",78.9,17.5,80.1,18.3,90.0,22.9,50.9,15.1
