GEOID,FQHC Count,FacDensity10K,HOPD count,PHMCY Count,RUHC Count
13315,1,2.3162,0,1,0
13317,0,2.0456,0,2,0
13319,2,4.4673,0,2,0
13321,0,1.4817,0,3,0
16001,19,2.0557,3,77,0
16003,1,2.3288,0,0,0
16005,8,2.7332,1,15,0
16007,1,6.5306,0,2,1
16009,6,6.452999999999999,0,0,0
16011,3,1.9226,0,6,0
16013,0,2.1719,0,5,0
16015,0,0.0,0,0,0
16017,3,2.1863,0,7,0
16019,1,1.8477999999999999,2,19,0
16021,1,3.2666,0,2,1
16023,0,0.0,0,0,0
16025,1,9.0416,0,0,0
16027,20,2.2188,2,28,1
16029,0,2.7952,0,2,0
16031,4,3.3292,0,4,0
16033,0,0.0,0,0,0
16035,0,1.1421000000000001,0,1,0
16037,1,4.635,0,0,1
16039,4,2.5444,0,3,0
16041,1,2.162,0,2,0
16043,4,5.3439,0,3,0
16045,1,2.7606,0,4,0
16047,0,4.6116,0,5,2
16049,0,0.0,0,0,0
16051,1,1.0043,0,2,0
16053,1,2.4577999999999998,0,5,0
16055,27,3.3193,2,26,0
16057,1,2.4933,0,8,1
16059,0,2.4916,0,2,0
16061,0,0.0,0,0,0
16063,0,0.0,0,0,0
16065,1,2.2552,1,7,0
16067,1,0.9506,0,1,0
16069,1,1.9798,1,6,0
16071,0,0.0,0,0,0
16073,5,5.9207,0,2,0
16075,3,2.5051,0,3,0
16077,1,2.6038,0,1,0
16079,2,4.6577,0,4,0
16081,0,0.8236,0,1,0
16083,9,2.6474,1,13,0
16085,0,2.6334,0,3,0
16087,4,6.8668,0,2,1
17001,8,3.0565,1,9,2
17003,3,5.2074,0,0,0
17005,0,2.4352,1,2,1
17007,1,1.1206,0,5,0
17009,0,1.5202,0,1,0
17011,0,1.5324,1,3,1
17013,0,0.0,0,0,0
17015,0,0.6991,0,1,0
17017,2,4.1162,0,3,0
17019,7,2.146,2,36,0
17021,2,2.786,0,5,2
17023,0,3.8858,0,5,1
17025,1,4.551,0,3,2
17027,0,2.1298,1,5,2
17029,3,2.3706,1,7,1
17031,216,1.7708,48,648,0
17033,0,2.6785,0,4,1
